id,year,coh,ndrod,duy,yduy,duc,yduc,nmissd
1,1979,0,0,0,0,0,0,3
1,1980,0,0,0,0,0,0,3
1,1981,0,0,0,0,0,0,3
1,1982,0,0,0,0,0,0,3
1,1983,0,0,0,0,0,0,3
1,1984,0,0,0,0,0,0,3
1,1985,0,0,0,0,0,0,3
1,1986,0,0,0,0,0,0,3
1,1987,0,1,0,0,0,0,3
1,1988,0,1,0,0,0,0,3
1,1989,0,1,0,0,0,0,3
1,1990,0,0,0,0,0,0,3
1,1991,0,0,0,0,0,0,3
1,1992,0,0,0,0,0,0,3
2,1979,0,0,0,0,0,0,3
2,1980,0,0,.1450107,1,.5840803,1,3
2,1981,0,0,.1592405,1,-.8723857,1,3
2,1982,0,0,-.2207446,1,-.1881936,1,3
2,1983,0,0,-.1753295,1,.7471285,1,3
2,1984,0,0,.0998733,1,-.2521634,1,3
2,1985,0,0,.5979259,1,-.4020476,1,3
2,1986,0,0,-.0802665,1,.7090874,1,3
2,1987,0,1,-.0200731,1,0,0,3
2,1988,0,1,-.0590228,1,0,0,3
2,1989,0,1,-.2384915,1,0,0,3
2,1990,0,0,-.0207129,1,-.0892962,1,3
2,1991,0,0,.0078147,1,.2111695,1,3
2,1992,0,0,.7559025,1,.2628172,1,3
3,1979,0,0,-.0935595,1,-.1159138,1,3
3,1980,0,0,-.0675044,1,-.0313671,1,3
3,1981,0,0,.3693008,1,-.2449903,1,3
3,1982,0,0,-.0711804,1,-.5561002,1,3
3,1983,0,0,-.8351764,1,-1.270802,1,3
3,1984,0,0,-.334962,1,1.4063,1,3
3,1985,0,0,.2570193,1,1.487421,1,3
3,1986,0,0,.4076159,1,-.9915353,1,3
3,1987,0,1,.2817455,1,0,0,3
3,1988,0,1,-.1158825,1,0,0,3
3,1989,0,1,.3633036,1,0,0,3
3,1990,0,0,.0890356,1,-.776913,1,3
3,1991,0,0,.142247,1,.708637,1,3
3,1992,0,0,-1.464745,1,.2979255,1,3
4,1979,0,0,0,0,0,0,3
4,1980,0,0,0,0,0,0,3
4,1981,0,0,0,0,0,0,3
4,1982,0,0,0,0,0,0,3
4,1983,0,0,0,0,0,0,3
4,1984,0,0,0,0,0,0,3
4,1985,0,0,0,0,0,0,3
4,1986,0,0,0,0,0,0,3
4,1987,0,1,0,0,0,0,3
4,1988,0,1,0,0,0,0,3
4,1989,0,1,.6540064,1,0,0,3
4,1990,0,0,-.1362521,1,.1627909,1,3
4,1991,0,0,.043523,1,-.0767448,1,3
4,1992,0,0,-.008066,1,-.0382556,1,3
5,1979,0,0,-.3191025,1,.0896033,1,3
5,1980,0,0,.0495564,1,-.2896996,1,3
5,1981,0,0,-.1896648,1,.2550766,1,3
5,1982,0,0,-.1640615,1,.5106117,1,3
5,1983,0,0,.268919,1,-.5039501,1,3
5,1984,0,0,.0563053,1,.1971044,1,3
5,1985,0,0,.1605703,1,.3558928,1,3
5,1986,0,0,-.1327095,1,-.1822243,1,3
5,1987,0,1,.4642945,1,0,0,3
5,1988,0,1,-.3606742,1,0,0,3
5,1989,0,1,-.1154336,1,0,0,3
5,1990,0,0,-.1665558,1,-.3709493,1,3
5,1991,0,0,-.0433617,1,.0937419,1,3
5,1992,0,0,.0801691,1,.2684749,1,3
6,1979,0,0,-.0559581,1,.4065453,1,3
6,1980,0,0,-.0724009,1,-.3173679,1,3
6,1981,0,0,.0801219,1,-.1124201,1,3
6,1982,0,0,-.1129563,1,-.1507066,1,3
6,1983,0,0,-.0875409,1,.2702044,1,3
6,1984,0,0,-.1166277,1,.0889805,1,3
6,1985,0,0,.0172815,1,-.2460332,1,3
6,1986,0,0,-.3332771,1,.3175707,1,3
6,1987,0,1,.6843017,1,0,0,3
6,1988,0,1,.0008395,1,0,0,3
6,1989,0,1,-.2515802,1,0,0,3
6,1990,0,0,.1732906,1,-.2407344,1,3
6,1991,0,0,-.1368016,1,.3109396,1,3
6,1992,0,0,-.4170655,1,-.073276,1,3
7,1979,0,0,-.1421455,1,-.1431256,1,3
7,1980,0,0,-.5995482,1,.6532148,1,3
7,1981,0,0,.6353873,1,-.3936187,1,3
7,1982,0,0,.0778412,1,.4700323,1,3
7,1983,0,0,.2698154,1,-.2095721,1,3
7,1984,0,0,-.2291523,1,-.5417284,1,3
7,1985,0,0,.05333,1,.8185178,1,3
7,1986,0,0,-.0159741,1,-.3095258,1,3
7,1987,0,1,-.140275,1,0,0,3
7,1988,0,1,-.0668651,1,0,0,3
7,1989,0,1,.3343343,1,0,0,3
7,1990,0,0,.1305356,1,.1439152,1,3
7,1991,0,0,-.1876588,1,-.3563939,1,3
7,1992,0,0,.0537893,1,.3503326,1,3
8,1979,0,0,0,0,0,0,3
8,1980,0,0,0,0,0,0,3
8,1981,0,0,0,0,0,0,3
8,1982,0,0,0,0,0,0,3
8,1983,0,0,0,0,0,0,3
8,1984,0,0,0,0,0,0,3
8,1985,0,0,0,0,0,0,3
8,1986,0,0,0,0,0,0,3
8,1987,0,1,0,0,0,0,3
8,1988,0,1,0,0,0,0,3
8,1989,0,1,0,0,0,0,3
8,1990,0,0,0,0,0,0,3
8,1991,0,0,0,0,0,0,3
8,1992,0,0,0,0,0,0,3
9,1979,0,0,-.4787356,1,.4284776,1,3
9,1980,0,0,-.0411504,1,-.4076286,1,3
9,1981,0,0,.2963625,1,-.162473,1,3
9,1982,0,0,-.2398738,1,.2543721,1,3
9,1983,0,0,.0803317,1,.0329843,1,3
9,1984,0,0,.0539018,1,-.2300563,1,3
