id,year,coh,ndrod,duy,yduy,duc,yduc,nmissd
1,1979,0,0,0,0,0,0,3
1,1980,0,0,0,0,0,0,3
1,1981,0,0,0,0,0,0,3
1,1982,0,0,0,0,0,0,3
1,1983,0,0,0,0,0,0,3
1,1984,0,0,0,0,0,0,3
1,1985,0,0,0,0,0,0,3
1,1986,0,0,0,0,0,0,3
1,1987,0,1,0,0,0,0,3
1,1988,0,1,0,0,0,0,3
1,1989,0,1,0,0,0,0,3
1,1990,0,0,0,0,0,0,3
1,1991,0,0,0,0,0,0,3
1,1992,0,0,0,0,0,0,3
2,1979,0,0,1.956804,1,-.4929579,1,3
2,1980,0,0,-1.581012,1,.6039806,1,3
2,1981,0,0,.5255453,1,-.2250353,1,3
2,1982,0,0,.129374,1,-.4658418,1,3
2,1983,0,0,-.0673218,1,.0533395,1,3
2,1984,0,0,.0001925,1,-.4375471,1,3
2,1985,0,0,.4088419,1,.0302514,1,3
2,1986,0,0,-1.60789,1,-.5749006,1,3
2,1987,0,1,.6567886,1,0,0,3
2,1988,0,1,0,0,0,0,3
2,1989,0,1,0,0,0,0,3
2,1990,0,0,0,0,0,0,3
2,1991,0,0,0,0,0,0,3
2,1992,0,0,0,0,0,0,3
3,1979,0,0,0,0,0,0,3
3,1980,0,0,0,0,0,0,3
3,1981,0,0,0,0,0,0,3
3,1982,0,0,0,0,0,0,3
3,1983,0,0,-.2233517,1,-.22981,1,3
3,1984,0,0,.6578693,1,.5755367,1,3
3,1985,0,0,-.4717926,1,-.2340421,1,3
3,1986,0,0,-.0505371,1,-.4381829,1,3
3,1987,0,1,-.0252301,1,0,0,3
3,1988,0,1,.2503027,1,0,0,3
3,1989,0,1,-.6311585,1,0,0,3
3,1990,0,0,.344766,1,-.0272223,1,3
3,1991,0,0,.3061663,1,.1459954,1,3
3,1992,0,0,-.7832027,1,-.3227558,1,3
4,1979,0,0,0,0,0,0,3
4,1980,0,0,.1547894,1,.5840803,1,3
4,1981,0,0,.1817935,1,-.8723857,1,3
4,1982,0,0,-.2024326,1,-.1881936,1,3
4,1983,0,0,-.5207804,1,.7471285,1,3
4,1984,0,0,.423793,1,-.2521634,1,3
4,1985,0,0,.6848104,1,-.4020476,1,3
4,1986,0,0,-.0831069,1,.7090874,1,3
4,1987,0,1,-.1734031,1,0,0,3
4,1988,0,1,.0546523,1,0,0,3
4,1989,0,1,-.2364093,1,0,0,3
4,1990,0,0,-.0448743,1,-.0892962,1,3
4,1991,0,0,.0752553,1,.2111695,1,3
4,1992,0,0,.8251241,1,.2628172,1,3
5,1979,0,0,-.0632352,1,-.1159138,1,3
5,1980,0,0,-.0193833,1,-.0313671,1,3
5,1981,0,0,.5011125,1,-.2449903,1,3
5,1982,0,0,-.0553212,1,-.5561002,1,3
5,1983,0,0,-1.120209,1,-1.270802,1,3
5,1984,0,0,-1.074129,1,1.4063,1,3
5,1985,0,0,1.267734,1,1.487421,1,3
5,1986,0,0,.4547796,1,-.9915353,1,3
5,1987,0,1,.2470124,1,0,0,3
5,1988,0,1,-.1665688,1,0,0,3
5,1989,0,1,.4848273,1,0,0,3
5,1990,0,0,.2362029,1,-.776913,1,3
5,1991,0,0,.0164097,1,.708637,1,3
5,1992,0,0,-2.013626,1,.2979255,1,3
6,1979,0,0,0,0,0,0,3
6,1980,0,0,0,0,0,0,3
6,1981,0,0,0,0,0,0,3
6,1982,0,0,0,0,0,0,3
6,1983,0,0,0,0,0,0,3
6,1984,0,0,0,0,0,0,3
6,1985,0,0,0,0,0,0,3
6,1986,0,0,0,0,0,0,3
6,1987,0,1,0,0,0,0,3
6,1988,0,1,0,0,0,0,3
6,1989,0,1,.7959254,1,0,0,3
6,1990,0,0,-.1615137,1,.1627909,1,3
6,1991,0,0,.0905172,1,-.0767448,1,3
6,1992,0,0,-.0687878,1,-.0382556,1,3
7,1979,0,0,0,0,0,0,3
7,1980,0,0,0,0,0,0,3
7,1981,0,0,0,0,0,0,3
7,1982,0,0,0,0,0,0,3
7,1983,0,0,0,0,0,0,3
7,1984,0,0,0,0,0,0,3
7,1985,0,0,0,0,0,0,3
7,1986,0,0,.3646513,1,.0117614,1,3
7,1987,0,1,.2955453,1,0,0,3
7,1988,0,1,-.3017208,1,0,0,3
7,1989,0,1,.0072345,1,0,0,3
7,1990,0,0,.0299301,1,-.3967569,1,3
7,1991,0,0,-.1133775,1,.0469937,1,3
7,1992,0,0,-.1252489,1,.0373124,1,3
8,1979,0,0,-.5893506,1,.0896033,1,3
8,1980,0,0,.0890058,1,-.2896996,1,3
8,1981,0,0,-.1867782,1,.2550766,1,3
8,1982,0,0,-.189962,1,.5106117,1,3
8,1983,0,0,.3113909,1,-.5039501,1,3
8,1984,0,0,.098404,1,.1971044,1,3
8,1985,0,0,.1603815,1,.3558928,1,3
8,1986,0,0,-.0625822,1,-.1822243,1,3
8,1987,0,1,.3399557,1,0,0,3
8,1988,0,1,-.3472507,1,0,0,3
8,1989,0,1,-.0438564,1,0,0,3
8,1990,0,0,-.1634178,1,-.3709493,1,3
8,1991,0,0,-.0863349,1,.0937419,1,3
8,1992,0,0,-.1394792,1,.2684749,1,3
9,1979,0,0,0,0,0,0,3
9,1980,0,0,0,0,0,0,3
9,1981,0,0,0,0,0,0,3
9,1982,0,0,0,0,0,0,3
9,1983,0,0,0,0,0,0,3
9,1984,0,0,0,0,0,0,3
9,1985,0,0,0,0,0,0,3
9,1986,0,0,0,0,0,0,3
9,1987,0,1,0,0,0,0,3
9,1988,0,1,0,0,0,0,3
