id,year,coh,ndrod,duy,yduy,duc,yduc,nmissd
1,1979,0,0,0,0,0,0,3
1,1980,0,0,.1450107,1,.5840803,1,3
1,1981,0,0,.1592405,1,-.8723857,1,3
1,1982,0,0,-.2207446,1,-.1881936,1,3
1,1983,0,0,-.1753295,1,.7471285,1,3
1,1984,0,0,.0998733,1,-.2521634,1,3
1,1985,0,0,.5979259,1,-.4020476,1,3
1,1986,0,0,-.0802665,1,.7090874,1,3
1,1987,0,1,-.0200731,1,0,0,3
1,1988,0,1,-.0590228,1,0,0,3
1,1989,0,1,-.2384915,1,0,0,3
1,1990,0,0,-.0207129,1,-.0892962,1,3
1,1991,0,0,.0078147,1,.2111695,1,3
1,1992,0,0,.7559025,1,.2628172,1,3
2,1979,0,0,0,0,0,0,3
2,1980,0,0,0,0,0,0,3
2,1981,0,0,0,0,0,0,3
2,1982,0,0,0,0,0,0,3
2,1983,0,0,0,0,0,0,3
2,1984,0,0,0,0,0,0,3
2,1985,0,0,0,0,0,0,3
2,1986,0,0,.2592443,1,.0117614,1,3
2,1987,0,1,.2617566,1,0,0,3
2,1988,0,1,-.2250855,1,0,0,3
2,1989,0,1,-.0125808,1,0,0,3
2,1990,0,0,.0049225,1,-.3967569,1,3
2,1991,0,0,-.1836194,1,.0469937,1,3
2,1992,0,0,.0693865,1,.0373124,1,3
3,1979,0,0,-.0559581,1,.4065453,1,3
3,1980,0,0,-.0724009,1,-.3173679,1,3
3,1981,0,0,.0801219,1,-.1124201,1,3
3,1982,0,0,-.1129563,1,-.1507066,1,3
3,1983,0,0,-.0875409,1,.2702044,1,3
3,1984,0,0,-.1166277,1,.0889805,1,3
3,1985,0,0,.0172815,1,-.2460332,1,3
3,1986,0,0,-.3332771,1,.3175707,1,3
3,1987,0,1,.6843017,1,0,0,3
3,1988,0,1,.0008395,1,0,0,3
3,1989,0,1,-.2515802,1,0,0,3
3,1990,0,0,.1732906,1,-.2407344,1,3
3,1991,0,0,-.1368016,1,.3109396,1,3
3,1992,0,0,-.4170655,1,-.073276,1,3
4,1979,0,0,0,0,0,0,3
4,1980,0,0,0,0,0,0,3
4,1981,0,0,0,0,0,0,3
4,1982,0,0,0,0,0,0,3
4,1983,0,0,0,0,0,0,3
4,1984,0,0,.0979506,1,.8046833,1,3
4,1985,0,0,.0828996,1,-.1449577,1,3
4,1986,0,0,.2196855,1,-.0138685,1,3
4,1987,0,1,-.0208227,1,0,0,3
4,1988,0,1,-.0415354,1,0,0,3
4,1989,0,1,.0682959,1,0,0,3
4,1990,0,0,-.0719718,1,.3606592,1,3
4,1991,0,0,-.0220674,1,-.3754716,1,3
4,1992,0,0,-.1696033,1,-.0091731,1,3
5,1979,0,0,0,0,0,0,3
5,1980,0,0,0,0,0,0,3
5,1981,0,0,0,0,0,0,3
5,1982,0,0,0,0,0,0,3
5,1983,0,0,0,0,0,0,3
5,1984,0,0,0,0,0,0,3
5,1985,0,0,0,0,0,0,3
5,1986,0,0,0,0,0,0,3
5,1987,0,1,0,0,0,0,3
5,1988,0,1,0,0,0,0,3
5,1989,0,1,0,0,0,0,3
5,1990,0,0,0,0,0,0,3
5,1991,0,0,0,0,0,0,3
5,1992,0,0,0,0,0,0,3
6,1979,0,0,-.4787356,1,.4284776,1,3
6,1980,0,0,-.0411504,1,-.4076286,1,3
6,1981,0,0,.2963625,1,-.162473,1,3
6,1982,0,0,-.2398738,1,.2543721,1,3
6,1983,0,0,.0803317,1,.0329843,1,3
6,1984,0,0,.0539018,1,-.2300563,1,3
6,1985,0,0,.0098911,1,-.0058839,1,3
6,1986,0,0,-.1092148,1,.2047394,1,3
6,1987,0,1,.1741509,1,0,0,3
6,1988,0,1,-.2475408,1,0,0,3
6,1989,0,1,.0954553,1,0,0,3
6,1990,0,0,.2418264,1,-.1097656,1,3
6,1991,0,0,-.1126362,1,.0785643,1,3
6,1992,0,0,-.1683912,1,-.1562564,1,3
7,1979,0,0,0,0,0,0,3
7,1980,0,0,0,0,0,0,3
7,1981,0,0,0,0,0,0,3
7,1982,0,0,0,0,0,0,3
7,1983,0,0,0,0,0,0,3
7,1984,0,0,0,0,0,0,3
7,1985,0,0,0,0,0,0,3
7,1986,0,0,0,0,0,0,3
7,1987,0,1,.1247192,1,0,0,3
7,1988,0,1,0,0,0,0,3
7,1989,0,1,0,0,0,0,3
7,1990,0,0,0,0,0,0,3
7,1991,0,0,0,0,0,0,3
7,1992,0,0,0,0,0,0,3
8,1979,0,0,-.0699441,1,.149622,1,3
8,1980,0,0,.2115935,1,-.1407277,1,3
8,1981,0,0,.0920533,1,.0872207,1,3
8,1982,0,0,.2801486,1,.0243368,1,3
8,1983,0,0,-.3215492,1,.4562042,1,3
8,1984,0,0,-.0290953,1,-.2414248,1,3
8,1985,0,0,.0569658,1,-.114273,1,3
8,1986,0,0,-.0446946,1,.6252735,1,3
8,1987,0,1,.4073689,1,0,0,3
8,1988,0,1,0,0,0,0,3
8,1989,0,1,0,0,0,0,3
8,1990,0,0,0,0,0,0,3
8,1991,0,0,0,0,0,0,3
8,1992,0,0,0,0,0,0,3
9,1979,0,0,-.2756907,1,1.675709,1,3
9,1980,0,0,.0009621,1,.4013655,1,3
9,1981,0,0,.1303947,1,.0804448,1,3
9,1982,0,0,-.1706085,1,-.1758503,1,3
9,1983,0,0,.0608916,1,.1745415,1,3
9,1984,0,0,.0316194,1,-.1141007,1,3
9,1985,0,0,.5843643,1,-.1107058,1,3
9,1986,0,0,-.8784585,1,-.1879779,1,3
9,1987,0,1,-.0560182,1,0,0,3
9,1988,0,1,.1535699,1,0,0,3
9,1989,0,1,-.1783093,1,0,0,3
9,1990,0,0,.2202013,1,-.5338744,1,3
9,1991,0,0,.1544108,1,.5484728,1,3
9,1992,0,0,-.1090497,1,-.8580734,1,3
10,1979,0,0,0,0,0,0,3
10,1980,0,0,0,0,0,0,3
10,1981,0,0,0,0,0,0,3
10,1982,0,0,0,0,0,0,3
10,1983,0,0,-.0833621,1,-.1826707,1,3
10,1984,0,0,.1908325,1,-.0665653,1,3
10,1985,0,0,.011132,1,.0569568,1,3
10,1986,0,0,-.0632377,1,.0827875,1,3
10,1987,0,1,.1635922,1,0,0,3
10,1988,0,1,-.1278421,1,0,0,3
10,1989,0,1,.0373846,1,0,0,3
10,1990,0,0,.0241107,1,.2738468,1,3
10,1991,0,0,-.2371428,1,-.3966466,1,3
10,1992,0,0,-.0627099,1,.1544152,1,3
11,1979,0,0,0,0,0,0,3
11,1980,0,0,0,0,0,0,3
11,1981,0,0,0,0,0,0,3
11,1982,0,0,0,0,0,0,3
11,1983,0,0,0,0,0,0,3
11,1984,0,0,0,0,0,0,3
11,1985,0,0,0,0,0,0,3
11,1986,0,0,0,0,0,0,3
11,1987,0,1,0,0,0,0,3
11,1988,0,1,0,0,0,0,3
11,1989,0,1,-.4685978,1,0,0,3
11,1990,0,0,.0791437,1,-.6181529,1,3
11,1991,0,0,.0066331,1,-.3552368,1,3
11,1992,0,0,.0248074,1,-.0939314,1,3
12,1979,0,0,0,0,0,0,3
12,1980,0,0,0,0,0,0,3
12,1981,0,0,0,0,0,0,3
12,1982,0,0,0,0,0,0,3
12,1983,0,0,0,0,0,0,3
12,1984,0,0,0,0,0,0,3
12,1985,0,0,0,0,0,0,3
12,1986,0,0,0,0,0,0,3
12,1987,0,1,1.975701,1,0,0,3
12,1988,0,1,-1.067568,1,0,0,3
12,1989,0,1,1.3469,1,0,0,3
12,1990,0,0,.0927232,1,-.1831103,1,3
12,1991,0,0,.3550291,1,.8240256,1,3
12,1992,0,0,-.986936,1,-.3352394,1,3
13,1979,0,0,.1974903,1,.2238006,1,3
13,1980,0,0,-.246508,1,-.3906592,1,3
13,1981,0,0,.1740068,1,-.1316328,1,3
13,1982,0,0,-.340797,1,.2721438,1,3
13,1983,0,0,.3648034,1,-.0201615,1,3
13,1984,0,0,.0280135,1,.5427071,1,3
13,1985,0,0,.2029651,1,-.2201738,1,3
13,1986,0,0,.2042045,1,-.3020953,1,3
13,1987,0,1,-.0866294,1,0,0,3
13,1988,0,1,.1229228,1,0,0,3
13,1989,0,1,.126097,1,0,0,3
13,1990,0,0,.0678433,1,-.7387742,1,3
13,1991,0,0,-.1159053,1,.0916525,1,3
13,1992,0,0,.1901577,1,.3760974,1,3
14,1979,0,0,.4235633,1,-.1833369,1,3
14,1980,0,0,.1644376,1,.386222,1,3
14,1981,0,0,.231726,1,-.7738027,1,3
14,1982,0,0,-.2705866,1,.2398714,1,3
14,1983,0,0,-.0489377,1,-.2899617,1,3
14,1984,0,0,.4518474,1,.1190237,1,3
14,1985,0,0,.088683,1,.3586874,1,3
14,1986,0,0,-.1521457,1,-.2016194,1,3
14,1987,0,1,-1.083774,1,0,0,3
14,1988,0,1,-.2133965,1,0,0,3
14,1989,0,1,-.0509049,1,0,0,3
14,1990,0,0,0,0,0,0,3
14,1991,0,0,0,0,0,0,3
14,1992,0,0,0,0,0,0,3
15,1979,0,0,.07264,1,.1173534,1,3
15,1980,0,0,.0370439,1,.1045764,1,3
15,1981,0,0,-.0685069,1,.3187561,1,3
15,1982,0,0,.3006907,1,.0420201,1,3
15,1983,0,0,.0036471,1,-.2587227,1,3
15,1984,0,0,-.019492,1,.1039317,1,3
15,1985,0,0,.1711595,1,.3129078,1,3
15,1986,0,0,-.279182,1,-.1181956,1,3
15,1987,0,1,-.0615093,1,0,0,3
15,1988,0,1,.1971601,1,0,0,3
15,1989,0,1,0,0,0,0,3
15,1990,0,0,0,0,0,0,3
15,1991,0,0,0,0,0,0,3
15,1992,0,0,0,0,0,0,3
16,1979,0,0,0,0,-.3701706,1,3
16,1980,0,0,0,0,.1184425,1,3
16,1981,0,0,.0070312,1,.0640188,1,3
16,1982,0,0,.4544743,1,-.4631737,1,3
16,1983,0,0,-.6552658,1,.2681736,1,3
16,1984,0,0,.1556992,1,.0747011,1,3
16,1985,0,0,-.576853,1,-.4015081,1,3
16,1986,0,0,.6504581,1,.2238712,1,3
16,1987,0,1,-.0047828,1,0,0,3
16,1988,0,1,.0794179,1,0,0,3
16,1989,0,1,-.0714487,1,0,0,3
16,1990,0,0,-.0704556,1,.172745,1,3
16,1991,0,0,-.0436255,1,-.434098,1,3
16,1992,0,0,.3725785,1,.3562365,1,3
17,1979,0,0,.2366901,1,.3072681,1,3
17,1980,0,0,.0488365,1,-.0231108,1,3
17,1981,0,0,.0425289,1,-.0262772,1,3
17,1982,0,0,-.0308369,1,.0303107,1,3
17,1983,0,0,.1529567,1,.0867356,1,3
17,1984,0,0,-.1921,1,.0886354,1,3
17,1985,0,0,.1480118,1,.0753307,1,3
17,1986,0,0,-.0761205,1,-.0971495,1,3
17,1987,0,1,-.0856548,1,0,0,3
17,1988,0,1,-.0085946,1,0,0,3
17,1989,0,1,.09857,1,0,0,3
17,1990,0,0,.0069045,1,.4847271,1,3
17,1991,0,0,-.0717894,1,.0275939,1,3
17,1992,0,0,-.3282446,1,-.1203852,1,3
18,1979,0,0,0,0,0,0,3
18,1980,0,0,0,0,0,0,3
18,1981,0,0,0,0,0,0,3
18,1982,0,0,0,0,0,0,3
18,1983,0,0,0,0,0,0,3
18,1984,0,0,0,0,0,0,3
18,1985,0,0,0,0,0,0,3
18,1986,0,0,0,0,0,0,3
18,1987,0,1,0,0,0,0,3
18,1988,0,1,0,0,0,0,3
18,1989,0,1,0,0,0,0,3
18,1990,0,0,.2380285,1,.1247027,1,3
18,1991,0,0,-.018788,1,-.1597784,1,3
18,1992,0,0,.0274482,1,-.3399994,1,3
19,1979,0,0,-.0675053,1,-.2703353,1,3
19,1980,0,0,.0368164,1,.9612557,1,3
19,1981,0,0,.0671256,1,-.8419798,1,3
19,1982,0,0,-.0145454,1,-.0120101,1,3
19,1983,0,0,.0167594,1,-.0966382,1,3
19,1984,0,0,-.2343918,1,-.091449,1,3
19,1985,0,0,.1900616,1,.1517387,1,3
19,1986,0,0,-.0863929,1,-.1751633,1,3
19,1987,0,1,0,0,0,0,3
19,1988,0,1,0,0,0,0,3
19,1989,0,1,0,0,0,0,3
19,1990,0,0,0,0,0,0,3
19,1991,0,0,0,0,0,0,3
19,1992,0,0,0,0,0,0,3
20,1979,0,0,0,0,0,0,3
20,1980,0,0,0,0,0,0,3
20,1981,0,0,0,0,0,0,3
20,1982,0,0,0,0,0,0,3
20,1983,0,0,0,0,0,0,3
20,1984,0,0,0,0,0,0,3
20,1985,0,0,0,0,0,0,3
20,1986,0,0,0,0,0,0,3
20,1987,0,1,0,0,0,0,3
20,1988,0,1,.2783786,1,0,0,3
20,1989,0,1,-.0276924,1,0,0,3
20,1990,0,0,.1950846,1,-.3278503,1,3
20,1991,0,0,.1003083,1,.4721401,1,3
20,1992,0,0,.0115002,1,-.1036042,1,3
21,1979,0,0,-.4242612,1,-.3680254,1,3
21,1980,0,0,-.0660591,1,.0985681,1,3
21,1981,0,0,-.5181301,1,-.0162286,1,3
21,1982,0,0,.71364,1,.1177012,1,3
21,1983,0,0,.0551161,1,-.2011508,1,3
21,1984,0,0,.0164617,1,1.06638,1,3
21,1985,0,0,-.0220595,1,-.747919,1,3
21,1986,0,0,-.0865294,1,-.0452473,1,3
21,1987,0,1,-.3813329,1,0,0,3
21,1988,0,1,.0385444,1,0,0,3
21,1989,0,1,-.0022454,1,0,0,3
21,1990,0,0,-.0792336,1,-.1200254,1,3
21,1991,0,0,.1130719,1,.7226843,1,3
21,1992,0,0,.0479397,1,-.3836695,1,3
22,1979,0,0,-.093364,1,-.1325697,1,3
22,1980,0,0,.0456892,1,-.0539681,1,3
22,1981,0,0,-.1822607,1,-.1379938,1,3
22,1982,0,0,.1186233,1,-.0547188,1,3
22,1983,0,0,.0310803,1,.0723773,1,3
22,1984,0,0,-.100038,1,.1484128,1,3
22,1985,0,0,-.0752576,1,-.4430338,1,3
22,1986,0,0,.3768511,1,.5118295,1,3
22,1987,0,1,.1859867,1,0,0,3
22,1988,0,1,-.6687823,1,0,0,3
22,1989,0,1,.1104219,1,0,0,3
22,1990,0,0,.2274021,1,-.3385274,1,3
22,1991,0,0,-.1317499,1,.2179267,1,3
22,1992,0,0,-.1237021,1,-.2976629,1,3
23,1979,0,0,0,0,0,0,3
23,1980,0,0,0,0,0,0,3
23,1981,0,0,0,0,0,0,3
23,1982,0,0,0,0,0,0,3
23,1983,0,0,0,0,0,0,3
23,1984,0,0,0,0,0,0,3
23,1985,0,0,0,0,0,0,3
23,1986,0,0,0,0,0,0,3
23,1987,0,1,0,0,0,0,3
23,1988,0,1,0,0,0,0,3
23,1989,0,1,0,0,0,0,3
23,1990,0,0,0,0,0,0,3
23,1991,0,0,0,0,0,0,3
23,1992,0,0,0,0,0,0,3
24,1979,0,0,.2540292,1,.2574412,1,3
24,1980,0,0,.1423054,1,-.5101338,1,3
24,1981,0,0,.195381,1,.6854771,1,3
24,1982,0,0,-.1960328,1,.2121298,1,3
24,1983,0,0,.0998568,1,-.4680116,1,3
24,1984,0,0,.1120844,1,.03938,1,3
24,1985,0,0,-.1750163,1,-.0388131,1,3
24,1986,0,0,.2004996,1,-.0839658,1,3
24,1987,0,1,-.1244889,1,0,0,3
24,1988,0,1,-.3755101,1,0,0,3
24,1989,0,1,-.1319826,1,0,0,3
24,1990,0,0,.1387288,1,.151792,1,3
24,1991,0,0,-.1031731,1,-.0006934,1,3
24,1992,0,0,-.3136226,1,-.1827182,1,3
25,1979,0,0,-.1841085,1,.1888918,1,3
25,1980,0,0,-.0864046,1,-.1803186,1,3
25,1981,0,0,.0679815,1,.0632418,1,3
25,1982,0,0,.0593869,1,-.1178663,1,3
25,1983,0,0,-.0697034,1,.3573564,1,3
25,1984,0,0,.0686796,1,.0227374,1,3
25,1985,0,0,.2585283,1,-.1445831,1,3
25,1986,0,0,-.2567056,1,.4122322,1,3
25,1987,0,1,.1019674,1,0,0,3
25,1988,0,1,-.1673611,1,0,0,3
25,1989,0,1,.0953173,1,0,0,3
25,1990,0,0,.2743573,1,-.1635481,1,3
25,1991,0,0,-.1771381,1,-.1531978,1,3
25,1992,0,0,.1022305,1,-.0014339,1,3
26,1979,0,0,0,0,0,0,3
26,1980,0,0,0,0,0,0,3
26,1981,0,0,0,0,0,0,3
26,1982,0,0,0,0,0,0,3
26,1983,0,0,0,0,0,0,3
26,1984,0,0,0,0,0,0,3
26,1985,0,0,-.7190521,1,.3303148,1,3
26,1986,0,0,.3610653,1,-.3031555,1,3
26,1987,0,1,.0964754,1,0,0,3
26,1988,0,1,-.4958,1,0,0,3
26,1989,0,1,-.0540608,1,0,0,3
26,1990,0,0,.5667254,1,.0340311,1,3
26,1991,0,0,.5973112,1,.1570763,1,3
26,1992,0,0,-.0509469,1,.1644205,1,3
27,1979,0,0,-.1072459,1,-.2737716,1,3
27,1980,0,0,.3048885,1,.2692916,1,3
27,1981,0,0,-.3939284,1,-.1496906,1,3
27,1982,0,0,.0069702,1,-.3982223,1,3
27,1983,0,0,-.1184202,1,.2324753,1,3
27,1984,0,0,.193086,1,.0629976,1,3
27,1985,0,0,-.0487149,1,.0988084,1,3
27,1986,0,0,-.1242336,1,-.0269263,1,3
27,1987,0,1,.1554963,1,0,0,3
27,1988,0,1,0,0,0,0,3
27,1989,0,1,0,0,0,0,3
27,1990,0,0,0,0,0,0,3
27,1991,0,0,0,0,0,0,3
27,1992,0,0,0,0,0,0,3
28,1979,0,0,.2185988,1,.0957012,1,3
28,1980,0,0,-.1607354,1,-.232264,1,3
28,1981,0,0,.1491959,1,.1581327,1,3
28,1982,0,0,-.3314914,1,-.3530376,1,3
28,1983,0,0,-.0639722,1,-.0900444,1,3
28,1984,0,0,.0255282,1,-.4838727,1,3
28,1985,0,0,-.0908083,1,.6835308,1,3
28,1986,0,0,.030054,1,-.7402524,1,3
28,1987,0,1,.2147939,1,0,0,3
28,1988,0,1,.1103359,1,0,0,3
28,1989,0,1,-.0312799,1,0,0,3
28,1990,0,0,.0040365,1,.0400629,1,3
28,1991,0,0,.7802401,1,.0498735,1,3
28,1992,0,0,-.9042646,1,-.2990411,1,3
29,1979,0,0,0,0,0,0,3
29,1980,0,0,0,0,0,0,3
29,1981,0,0,0,0,0,0,3
29,1982,0,0,0,0,0,0,3
29,1983,0,0,0,0,0,0,3
29,1984,0,0,0,0,0,0,3
29,1985,0,0,0,0,0,0,3
29,1986,0,0,0,0,0,0,3
29,1987,0,1,0,0,0,0,3
29,1988,0,1,0,0,0,0,3
29,1989,0,1,0,0,0,0,3
29,1990,0,0,-.4387298,1,-.1469679,1,3
29,1991,0,0,.0061894,1,-.3801802,1,3
29,1992,0,0,-.0422396,1,.0739829,1,3
30,1979,0,0,0,0,0,0,3
30,1980,0,0,0,0,0,0,3
30,1981,0,0,0,0,0,0,3
30,1982,0,0,0,0,0,0,3
30,1983,0,0,0,0,0,0,3
30,1984,0,0,0,0,0,0,3
30,1985,0,0,0,0,0,0,3
30,1986,0,0,.3853471,1,-.3763118,1,3
30,1987,0,1,-.1378313,1,0,0,3
30,1988,0,1,.3917548,1,0,0,3
30,1989,0,1,.0712129,1,0,0,3
30,1990,0,0,-.0554283,1,.04208,1,3
30,1991,0,0,.0445698,1,.1996787,1,3
30,1992,0,0,.0986205,1,-.3576249,1,3
31,1979,0,0,.0718238,1,.2010383,1,3
31,1980,0,0,.1122975,1,.0696074,1,3
31,1981,0,0,-.1571967,1,-.1442936,1,3
31,1982,0,0,.0705809,1,.0860853,1,3
31,1983,0,0,-.0389221,1,-.181162,1,3
31,1984,0,0,-.0981576,1,.0962732,1,3
31,1985,0,0,-.0240329,1,-.0856803,1,3
31,1986,0,0,-.1062689,1,.0270787,1,3
31,1987,0,1,.1376104,1,0,0,3
31,1988,0,1,-.0199807,1,0,0,3
31,1989,0,1,-.0253828,1,0,0,3
31,1990,0,0,.011603,1,-.0027921,1,3
31,1991,0,0,-1.132328,1,.0856795,1,3
31,1992,0,0,.1132795,1,-.0802614,1,3
32,1979,0,0,.3175325,1,-.378117,1,3
32,1980,0,0,-.2968868,1,.001305,1,3
32,1981,0,0,.0679207,1,.0444759,1,3
32,1982,0,0,-.2130189,1,-.3833115,1,3
32,1983,0,0,.0218851,1,.0394913,1,3
32,1984,0,0,-.0119356,1,.2468515,1,3
32,1985,0,0,.0266987,1,-.2180244,1,3
32,1986,0,0,.0407502,1,.0379079,1,3
32,1987,0,1,.1054699,1,0,0,3
32,1988,0,1,-.189893,1,0,0,3
32,1989,0,1,.0310145,1,0,0,3
32,1990,0,0,-.1576051,1,.2592979,1,3
32,1991,0,0,.2230135,1,.1852784,1,3
32,1992,0,0,-.0041539,1,.1315797,1,3
33,1979,0,0,-.088509,1,-.3959075,1,3
33,1980,0,0,.4027451,1,.3921254,1,3
33,1981,0,0,-.053509,1,-.5397259,1,3
33,1982,0,0,-.0824923,1,.057779,1,3
33,1983,0,0,-.2185016,1,-.0084258,1,3
33,1984,0,0,.084943,1,.1447287,1,3
33,1985,0,0,-.0224928,1,-.0291023,1,3
33,1986,0,0,-.2926671,1,.0009325,1,3
33,1987,0,1,-.558515,1,0,0,3
33,1988,0,1,.5940309,1,0,0,3
33,1989,0,1,-.2920642,1,0,0,3
33,1990,0,0,.1045986,1,-.3441438,1,3
33,1991,0,0,-.3229606,1,.2450296,1,3
33,1992,0,0,0,0,0,0,3
34,1979,0,0,-.2087123,1,-.207755,1,3
34,1980,0,0,-.1238929,1,-.1472807,1,3
34,1981,0,0,.0340078,1,.093212,1,3
34,1982,0,0,.0870894,1,-.2770361,1,3
34,1983,0,0,-.1225258,1,.1649004,1,3
34,1984,0,0,.3870033,1,-.4409617,1,3
34,1985,0,0,-.0984356,1,-.0900969,1,3
34,1986,0,0,-.2861664,1,.1329812,1,3
34,1987,0,1,.3361839,1,0,0,3
34,1988,0,1,-.4564559,1,0,0,3
34,1989,0,1,.3509011,1,0,0,3
34,1990,0,0,.2451298,1,.006259,1,3
34,1991,0,0,-.0352126,1,-.2260176,1,3
34,1992,0,0,-.0837021,1,-.1174188,1,3
35,1979,0,0,.2338144,1,.1268409,1,3
35,1980,0,0,-.0370893,1,-.0822508,1,3
35,1981,0,0,.1803889,1,.3691949,1,3
35,1982,0,0,.0613735,1,.0389129,1,3
35,1983,0,0,-.017904,1,.0117797,1,3
35,1984,0,0,-.0058138,1,.2242222,1,3
35,1985,0,0,.2188725,1,-.3836982,1,3
35,1986,0,0,.0462269,1,.0053138,1,3
35,1987,0,1,.0390735,1,0,0,3
35,1988,0,1,.0252903,1,0,0,3
35,1989,0,1,-.1233312,1,0,0,3
35,1990,0,0,-.3329759,1,-.0965708,1,3
35,1991,0,0,.2191616,1,.0538861,1,3
35,1992,0,0,-.0550709,1,-.0020285,1,3
36,1979,0,0,0,0,0,0,3
36,1980,0,0,0,0,0,0,3
36,1981,0,0,0,0,0,0,3
36,1982,0,0,0,0,0,0,3
36,1983,0,0,0,0,0,0,3
36,1984,0,0,0,0,0,0,3
36,1985,0,0,0,0,0,0,3
36,1986,0,0,0,0,0,0,3
36,1987,0,1,.2061139,1,0,0,3
36,1988,0,1,-.7035506,1,0,0,3
36,1989,0,1,0,0,0,0,3
36,1990,0,0,0,0,0,0,3
36,1991,0,0,0,0,0,0,3
36,1992,0,0,0,0,0,0,3
37,1979,0,0,0,0,0,0,3
37,1980,0,0,0,0,0,0,3
37,1981,0,0,0,0,0,0,3
37,1982,0,0,0,0,0,0,3
37,1983,0,0,.2865728,1,.2288453,1,3
37,1984,0,0,-.4275614,1,-.2093747,1,3
37,1985,0,0,-.0277825,1,.1749679,1,3
37,1986,0,0,-.0571216,1,-.0837447,1,3
37,1987,0,1,-.7878112,1,0,0,3
37,1988,0,1,-.0505549,1,0,0,3
37,1989,0,1,.1799957,1,0,0,3
37,1990,0,0,.2972856,1,.2765181,1,3
37,1991,0,0,.001053,1,-.2124248,1,3
37,1992,0,0,.5087023,1,.1465443,1,3
38,1979,0,0,0,0,0,0,3
38,1980,0,0,0,0,0,0,3
38,1981,0,0,.2744334,1,.2236576,1,3
38,1982,0,0,.0831853,1,.0877346,1,3
38,1983,0,0,.0735546,1,-.1823665,1,3
38,1984,0,0,-.110317,1,.1564557,1,3
38,1985,0,0,.2288233,1,.2864445,1,3
38,1986,0,0,.1628633,1,.1352714,1,3
38,1987,0,1,.1085286,1,0,0,3
38,1988,0,1,-.0821629,1,0,0,3
38,1989,0,1,.0387217,1,0,0,3
38,1990,0,0,.0718503,1,-.1547699,1,3
38,1991,0,0,.1099997,1,-.1113947,1,3
38,1992,0,0,-.0242203,1,.4009337,1,3
39,1979,0,0,0,0,0,0,3
39,1980,0,0,0,0,0,0,3
39,1981,0,0,0,0,0,0,3
39,1982,0,0,0,0,0,0,3
39,1983,0,0,0,0,0,0,3
39,1984,0,0,0,0,0,0,3
39,1985,0,0,0,0,0,0,3
39,1986,0,0,0,0,0,0,3
39,1987,0,1,-.0361026,1,0,0,3
39,1988,0,1,-.2763274,1,0,0,3
39,1989,0,1,.1306612,1,0,0,3
39,1990,0,0,.1853868,1,-.565734,1,3
39,1991,0,0,-.5153416,1,.3239684,1,3
39,1992,0,0,.5752879,1,.0434903,1,3
40,1979,0,0,.0046723,1,-.0557565,1,3
40,1980,0,0,.0446747,1,.1323743,1,3
40,1981,0,0,.0326094,1,-.0892619,1,3
40,1982,0,0,.062243,1,-.0105195,1,3
40,1983,0,0,.0508783,1,.2250038,1,3
40,1984,0,0,-.0380503,1,-.0444091,1,3
40,1985,0,0,.0167388,1,.0237752,1,3
40,1986,0,0,.0397542,1,.0587003,1,3
40,1987,0,1,-.0738788,1,0,0,3
40,1988,0,1,.1350021,1,0,0,3
40,1989,0,1,-.2135488,1,0,0,3
40,1990,0,0,.0317137,1,.1104231,1,3
40,1991,0,0,.0267018,1,-.1067339,1,3
40,1992,0,0,-.1203866,1,.0332908,1,3
41,1979,0,0,0,0,0,0,3
